id,tweet_text,Final Labeling,storyid,supporting,refuting,fact
11,"Part 1: As a math major college grad, I would like to officially debunk what ppl are saying about this graph- incorrectly stating that it shows voter fraud. Some are inaccurately claiming that Trumps voting number is horizontal, while Biden received tons of votes, aka a scam",supporting,story_2+648+28,"The vote spike for Biden in these charts was due to late-reported county results, not evidence of fraud, as Trump also received votes in those batches.","Early morning election results with sudden spikes in votes for Joe Biden, as shown on the charts, are evidence of voter fraud from Michigan and Wisconsin.",Some graphs online misrepresent normal vote-counting spikes in Wisconsin and Michigan as evidence of fraud.
12,"Vote fraud Biden got a  straight upward movement, But there was no change in the Republican vote. Michigan Wisconsin etc",refuting,story_2+648+28,"The vote spike for Biden in these charts was due to late-reported county results, not evidence of fraud, as Trump also received votes in those batches.","Early morning election results with sudden spikes in votes for Joe Biden, as shown on the charts, are evidence of voter fraud from Michigan and Wisconsin.",Some graphs online misrepresent normal vote-counting spikes in Wisconsin and Michigan as evidence of fraud.
13,"The margin between Trump and Biden in Georgia has been tightening over the past two hours, though we haven't gotten any new results since about 1:37. But the NYT needle currently has GA at 63% Dem and the WaPo model suggests Biden will gain votes, too.",irrelevant,story_2+648+28,"The vote spike for Biden in these charts was due to late-reported county results, not evidence of fraud, as Trump also received votes in those batches.","Early morning election results with sudden spikes in votes for Joe Biden, as shown on the charts, are evidence of voter fraud from Michigan and Wisconsin.",Some graphs online misrepresent normal vote-counting spikes in Wisconsin and Michigan as evidence of fraud.
14,"You're watching, right before your very eyes a US election being stolen. Trump was up by 100s of thousand votes and we go to bed and poof, 100s of thousands of votes go straight, Biden. Trump2020",refuting,story_2+648+28,"The vote spike for Biden in these charts was due to late-reported county results, not evidence of fraud, as Trump also received votes in those batches.","Early morning election results with sudden spikes in votes for Joe Biden, as shown on the charts, are evidence of voter fraud from Michigan and Wisconsin.",Some graphs online misrepresent normal vote-counting spikes in Wisconsin and Michigan as evidence of fraud.
15,"Simple math Biden Win = Trump votes + X, and I guess they solved for X.",refuting,story_2+648+28,"The vote spike for Biden in these charts was due to late-reported county results, not evidence of fraud, as Trump also received votes in those batches.","Early morning election results with sudden spikes in votes for Joe Biden, as shown on the charts, are evidence of voter fraud from Michigan and Wisconsin.",Some graphs online misrepresent normal vote-counting spikes in Wisconsin and Michigan as evidence of fraud.
16,"It is impossible to have a straight up curve in elections. It means over 100,000 ballots went to Biden at the same time. It looks like a truck load ballots dump in the station. It is too obvious, too simple and too stupid!",refuting,story_2+648+28,"The vote spike for Biden in these charts was due to late-reported county results, not evidence of fraud, as Trump also received votes in those batches.","Early morning election results with sudden spikes in votes for Joe Biden, as shown on the charts, are evidence of voter fraud from Michigan and Wisconsin.",Some graphs online misrepresent normal vote-counting spikes in Wisconsin and Michigan as evidence of fraud.
17,"""This election was pre-ordained by the MSM and the Globalists to have been 'won' by Biden."" ""This clear fraud will no longer allow the Left and their ABCNNBCBS buddies to claim that Vote Fraud 'does not exist'.""",irrelevant,story_2+648+28,"The vote spike for Biden in these charts was due to late-reported county results, not evidence of fraud, as Trump also received votes in those batches.","Early morning election results with sudden spikes in votes for Joe Biden, as shown on the charts, are evidence of voter fraud from Michigan and Wisconsin.",Some graphs online misrepresent normal vote-counting spikes in Wisconsin and Michigan as evidence of fraud.
18,"Russia Collusion Hoax: $40,000,000  When Trump wins, we better spend whatever it takes to investigate &amp; lock up every single slimy reprobate snake responsible.  Peons to Governors.  MASSIVE investigations.  YOU CAN'T GET AWAY WITH TRYING TO STEAL OUR ELECTIONS  @DonaldJTrumpJr",irrelevant,story_2+648+28,"The vote spike for Biden in these charts was due to late-reported county results, not evidence of fraud, as Trump also received votes in those batches.","Early morning election results with sudden spikes in votes for Joe Biden, as shown on the charts, are evidence of voter fraud from Michigan and Wisconsin.",Some graphs online misrepresent normal vote-counting spikes in Wisconsin and Michigan as evidence of fraud.
19,"I dont care who wins, but this whole finding over 100K ballots &amp; 100% of them were for Biden is puzzling. I find it unlikely that not a 1 of them voted for 3rd party or Trump. Anyone have an explanation? Like was the box just straight up labeled BIDEN EARLY VOTE BALLOTS???",refuting,story_2+648+28,"The vote spike for Biden in these charts was due to late-reported county results, not evidence of fraud, as Trump also received votes in those batches.","Early morning election results with sudden spikes in votes for Joe Biden, as shown on the charts, are evidence of voter fraud from Michigan and Wisconsin.",Some graphs online misrepresent normal vote-counting spikes in Wisconsin and Michigan as evidence of fraud.
20,"Have seen as high as 202% in specific districts  Massive fraud, and easy to spot",refuting,story_2+648+28,"The vote spike for Biden in these charts was due to late-reported county results, not evidence of fraud, as Trump also received votes in those batches.","Early morning election results with sudden spikes in votes for Joe Biden, as shown on the charts, are evidence of voter fraud from Michigan and Wisconsin.",Some graphs online misrepresent normal vote-counting spikes in Wisconsin and Michigan as evidence of fraud.
21,"It's absolutely hilarious to me that I keep seeing people trying to use this image as ""proof"" of voter fraud as if inputting a batch of data at once is completely unheard of and the red line didn't also go up with the blue line",supporting,story_2+648+28,"The vote spike for Biden in these charts was due to late-reported county results, not evidence of fraud, as Trump also received votes in those batches.","Early morning election results with sudden spikes in votes for Joe Biden, as shown on the charts, are evidence of voter fraud from Michigan and Wisconsin.",Some graphs online misrepresent normal vote-counting spikes in Wisconsin and Michigan as evidence of fraud.
22,In mathematics you never see this kind of data trend correlation without a modification to the sources primary variables.  The voter FRAUD is very apparent here unless all of sudden all persons casting votes were only for Biden.     Natural (jagged) Vs Manufactured (straight),refuting,story_2+648+28,"The vote spike for Biden in these charts was due to late-reported county results, not evidence of fraud, as Trump also received votes in those batches.","Early morning election results with sudden spikes in votes for Joe Biden, as shown on the charts, are evidence of voter fraud from Michigan and Wisconsin.",Some graphs online misrepresent normal vote-counting spikes in Wisconsin and Michigan as evidence of fraud.
23,Why Russian hackers help Biden in Michigan? ????  vote election usa trump biden ElectionNight cnn bbc Election2020 ElectionDay Vote2020 votered voteblue MAGA2020 trump2020 biden2020 MichiganVotes MichiganForTrump MichiganForBiden,irrelevant,story_2+648+28,"The vote spike for Biden in these charts was due to late-reported county results, not evidence of fraud, as Trump also received votes in those batches.","Early morning election results with sudden spikes in votes for Joe Biden, as shown on the charts, are evidence of voter fraud from Michigan and Wisconsin.",Some graphs online misrepresent normal vote-counting spikes in Wisconsin and Michigan as evidence of fraud.
24,For SouthAfrica having trouble with Election2020. How many guns &amp; gun owners in the USA? Trump is keep your guns. Biden is take your guns. Who do u think Americans voted for? MichealMoore (hates Trump) said take 50% from all biden votes &amp; that's his real tally. VoterFraud,irrelevant,story_2+648+28,"The vote spike for Biden in these charts was due to late-reported county results, not evidence of fraud, as Trump also received votes in those batches.","Early morning election results with sudden spikes in votes for Joe Biden, as shown on the charts, are evidence of voter fraud from Michigan and Wisconsin.",Some graphs online misrepresent normal vote-counting spikes in Wisconsin and Michigan as evidence of fraud.
25,???????????????????????????? ??---&gt;????---&gt;??????? ??---&gt;????---&gt;??????? @realDonaldTrump @RudyGiuliani  @Guan_PhD @BoDiplo @WarRoomPandemic @USNavy  Elections2020 MAGA2020 realDonaldTrump GTV GNEWS,irrelevant,story_2+648+28,"The vote spike for Biden in these charts was due to late-reported county results, not evidence of fraud, as Trump also received votes in those batches.","Early morning election results with sudden spikes in votes for Joe Biden, as shown on the charts, are evidence of voter fraud from Michigan and Wisconsin.",Some graphs online misrepresent normal vote-counting spikes in Wisconsin and Michigan as evidence of fraud.
26,"TRUMP WON! Biden is NOT! the president ignore the media right an left, if he takes the oval office he trespassed into our house. What do you do with trespassers?",irrelevant,story_2+648+28,"The vote spike for Biden in these charts was due to late-reported county results, not evidence of fraud, as Trump also received votes in those batches.","Early morning election results with sudden spikes in votes for Joe Biden, as shown on the charts, are evidence of voter fraud from Michigan and Wisconsin.",Some graphs online misrepresent normal vote-counting spikes in Wisconsin and Michigan as evidence of fraud.
27,"This deserves investigation. That's a straight line, which is too improbable to just let it slide. If Trump's line had the same anomaly, I'd say the same. And it doesn't follow the trend, just as it flat lines they magically find 100k biden ballots and not a single red one?",refuting,story_2+648+28,"The vote spike for Biden in these charts was due to late-reported county results, not evidence of fraud, as Trump also received votes in those batches.","Early morning election results with sudden spikes in votes for Joe Biden, as shown on the charts, are evidence of voter fraud from Michigan and Wisconsin.",Some graphs online misrepresent normal vote-counting spikes in Wisconsin and Michigan as evidence of fraud.
28,"100,000 for Biden 0 for Trump vote dump when no observers were present Wednesday morning",refuting,story_2+648+28,"The vote spike for Biden in these charts was due to late-reported county results, not evidence of fraud, as Trump also received votes in those batches.","Early morning election results with sudden spikes in votes for Joe Biden, as shown on the charts, are evidence of voter fraud from Michigan and Wisconsin.",Some graphs online misrepresent normal vote-counting spikes in Wisconsin and Michigan as evidence of fraud.
29,I was winning bigly! $TSLA shorts are sending in ILLEGAL votes for @StockLizardKing! RIGGED ELECTION!,irrelevant,story_2+648+28,"The vote spike for Biden in these charts was due to late-reported county results, not evidence of fraud, as Trump also received votes in those batches.","Early morning election results with sudden spikes in votes for Joe Biden, as shown on the charts, are evidence of voter fraud from Michigan and Wisconsin.",Some graphs online misrepresent normal vote-counting spikes in Wisconsin and Michigan as evidence of fraud.
30,I've started to see this image crop up in GOP circles as a shorthand for the election fraud that they claim took place in Wisconsin and other states. This is the FiveThirtyEight chart it's a play on. See if you can spot the difference!,supporting,story_2+648+28,"The vote spike for Biden in these charts was due to late-reported county results, not evidence of fraud, as Trump also received votes in those batches.","Early morning election results with sudden spikes in votes for Joe Biden, as shown on the charts, are evidence of voter fraud from Michigan and Wisconsin.",Some graphs online misrepresent normal vote-counting spikes in Wisconsin and Michigan as evidence of fraud.
31,??Twitter continues to participate in election fraud &amp; conservative censorship.  They have labelled this @seanmdav tweet as misleading. This is not misleading. This is NEWS &amp; social media is blowing up about MI adding nearly 140K votes ALL for Biden.??  Truth TwitterIsCorrupt,refuting,story_2+648+28,"The vote spike for Biden in these charts was due to late-reported county results, not evidence of fraud, as Trump also received votes in those batches.","Early morning election results with sudden spikes in votes for Joe Biden, as shown on the charts, are evidence of voter fraud from Michigan and Wisconsin.",Some graphs online misrepresent normal vote-counting spikes in Wisconsin and Michigan as evidence of fraud.
32,"Apparently a lot of people skipped out on basic math class.  If those votes had been 100% for Biden, the red line would have crossed the blue line.  Why didnt it? Because Trump had a lot of votes in the same reporting batch.",supporting,story_2+648+28,"The vote spike for Biden in these charts was due to late-reported county results, not evidence of fraud, as Trump also received votes in those batches.","Early morning election results with sudden spikes in votes for Joe Biden, as shown on the charts, are evidence of voter fraud from Michigan and Wisconsin.",Some graphs online misrepresent normal vote-counting spikes in Wisconsin and Michigan as evidence of fraud.
33,ElectoralCollege was invented to protect US establishment against Democracy.  It failed to do so!  ElectionFraud is much more reliable.,irrelevant,story_2+648+28,"The vote spike for Biden in these charts was due to late-reported county results, not evidence of fraud, as Trump also received votes in those batches.","Early morning election results with sudden spikes in votes for Joe Biden, as shown on the charts, are evidence of voter fraud from Michigan and Wisconsin.",Some graphs online misrepresent normal vote-counting spikes in Wisconsin and Michigan as evidence of fraud.
34,"Saw a couple graphs (Minnesota &amp; Wisconsin) showing straight vertical lines for Biden with huge ""WTF"" captions, but there are also those lines for Trump in other states. It's not nefarious.  The Wisconsin one looks particularly bad when viewed without context, though.",supporting,story_2+648+28,"The vote spike for Biden in these charts was due to late-reported county results, not evidence of fraud, as Trump also received votes in those batches.","Early morning election results with sudden spikes in votes for Joe Biden, as shown on the charts, are evidence of voter fraud from Michigan and Wisconsin.",Some graphs online misrepresent normal vote-counting spikes in Wisconsin and Michigan as evidence of fraud.
35,"People keep using this picture to ""prove"" election fraud but like YOU CAN LITERALLY SEE THE RED DOT UNDER THE BLUE TRUMP'S NUMBERS WENT UP TOO",supporting,story_2+648+28,"The vote spike for Biden in these charts was due to late-reported county results, not evidence of fraud, as Trump also received votes in those batches.","Early morning election results with sudden spikes in votes for Joe Biden, as shown on the charts, are evidence of voter fraud from Michigan and Wisconsin.",Some graphs online misrepresent normal vote-counting spikes in Wisconsin and Michigan as evidence of fraud.
36,Fellas I've seen this graph too many times please understand that vote in ballots usually come in at bulk and if your party canidate spreads false rhetoric about mail in fraud your canidate will most likely not see an uptick when they are added in. This ain't fraud fellas,supporting,story_2+648+28,"The vote spike for Biden in these charts was due to late-reported county results, not evidence of fraud, as Trump also received votes in those batches.","Early morning election results with sudden spikes in votes for Joe Biden, as shown on the charts, are evidence of voter fraud from Michigan and Wisconsin.",Some graphs online misrepresent normal vote-counting spikes in Wisconsin and Michigan as evidence of fraud.
37,"How can you have a lead of 438,052 votes and within minutes you lose 20,000 votes in real time while Biden gains 20,000 votes at same time???? This is when the switching started before they stopped counting on Nov 3",refuting,story_107,"The TV clip claimed to show election fraud actually aired in 2019 during Kentuckys gubernatorial race, with no evidence of fraud.","The clip is from CNN on 2020 election night and shows Trumps votes dropping while Bidens increase, proving electronic vote fraud.",TV news clip does not show live computerized fraud on Election Day 2020
38,Scientific rigging and Booth capturing in USElection and they say India's voting system is flawed. @realDonaldTrump @POTUS @usatodayDC,irrelevant,story_426+1276+117,"The sudden jump in Joe Biden's votes in Michigan was due to a temporary data glitch, not fraud.","There is a map or graph that alleges Biden found 138,000+ votes overnight to overtake Trump in Michigan, and it's evidence of an election being stolen","Joe Biden did not mysteriously gain 138,000 Michigan votes all at once"
39,All of this was avoidable. We could have stopped Democrats from committing fraud easily by ALL STATES HAVING SIMILAR VOTING RULES FOR PRESIDENTIAL BALLOTS &amp; THERE SHOULD BE NO STATE ISSUES ON THE BALLOT.....PERIOD.  YOU HAVE TO HAVE ID OF SOME SORT TO VALIDATE YOU ARE A CITIZEN.,irrelevant,story_426+1276+117,"The sudden jump in Joe Biden's votes in Michigan was due to a temporary data glitch, not fraud.","There is a map or graph that alleges Biden found 138,000+ votes overnight to overtake Trump in Michigan, and it's evidence of an election being stolen","Joe Biden did not mysteriously gain 138,000 Michigan votes all at once"
40,Found a truck of Biden Ballots in the alley.,irrelevant,story_426+1276+117,"The sudden jump in Joe Biden's votes in Michigan was due to a temporary data glitch, not fraud.","There is a map or graph that alleges Biden found 138,000+ votes overnight to overtake Trump in Michigan, and it's evidence of an election being stolen","Joe Biden did not mysteriously gain 138,000 Michigan votes all at once"
41,"Here it is.  Exact graphic showing Michigan count going up without Trump count moving even 1 vote.   Out of 138K ballots, NOT 1 was for Trump.  Fathom that.  Remember what Trump was saying before election...mail-in voting, etc is all going to lead to fraud.  Now people will see.",refuting,story_426+1276+117,"The sudden jump in Joe Biden's votes in Michigan was due to a temporary data glitch, not fraud.","There is a map or graph that alleges Biden found 138,000+ votes overnight to overtake Trump in Michigan, and it's evidence of an election being stolen","Joe Biden did not mysteriously gain 138,000 Michigan votes all at once"
42,We know why Biden said to be patient BECAUSE HIS VOTE CAME WHEN BIDEN IN NEEDS!! FRAUD ElectionDay2020  // Biden urges voters to be patient - but says he is 'on track' to win US election,irrelevant,story_426+1276+117,"The sudden jump in Joe Biden's votes in Michigan was due to a temporary data glitch, not fraud.","There is a map or graph that alleges Biden found 138,000+ votes overnight to overtake Trump in Michigan, and it's evidence of an election being stolen","Joe Biden did not mysteriously gain 138,000 Michigan votes all at once"
43,"How is it possible that Biden goes up 138,000 votes and Trump doesn't gain one???                    FRAUD",refuting,story_426+1276+117,"The sudden jump in Joe Biden's votes in Michigan was due to a temporary data glitch, not fraud.","There is a map or graph that alleges Biden found 138,000+ votes overnight to overtake Trump in Michigan, and it's evidence of an election being stolen","Joe Biden did not mysteriously gain 138,000 Michigan votes all at once"
44,Thought corruption starts and end in Nigeria until I saw this??????  Joe Biden - 138k Trump - 0 ?????? Even Bubu rigging no reach like this????????,refuting,story_426+1276+117,"The sudden jump in Joe Biden's votes in Michigan was due to a temporary data glitch, not fraud.","There is a map or graph that alleges Biden found 138,000+ votes overnight to overtake Trump in Michigan, and it's evidence of an election being stolen","Joe Biden did not mysteriously gain 138,000 Michigan votes all at once"
45,2. Voter Fraud lawsuits - @DonaldJTrumpJr Team will be laser-focus on these: &gt;Limestone County already had 1 arrest &gt;PA has a UPS worker agreeing to testify in court that the supervisors were backdating &gt;Glitch in Michigan &gt;Pennsylvania/Georgia not allowing Republican observers,irrelevant,story_426+1276+117,"The sudden jump in Joe Biden's votes in Michigan was due to a temporary data glitch, not fraud.","There is a map or graph that alleges Biden found 138,000+ votes overnight to overtake Trump in Michigan, and it's evidence of an election being stolen","Joe Biden did not mysteriously gain 138,000 Michigan votes all at once"
46,"The Democrats cheated big time. They know it, we know it. The most widespread, criminal election fraud in history. They won't get away with it. The American nation sees everything. Trump will win! StopTheSteaI USElections2020 MAGAMillionMarch",irrelevant,story_396,"The vote increases resulted from standard ballot-counting processes, especially mail-in and absentee ballots.","Newly recovered video footage claims to show election fraud at Detroit's TCF Center, alleging late-night deliveries of illegal ballots after polls closed to increase Biden's vote count in Michigan.",Improper vote dumps Trump referenced is actually the result of standard vote-counting procedures
47,"Look at this in Michigan! A day AFTER the election, Biden receives a dump of 134,886 votes at 6:31AM!",refuting,story_396,"The vote increases resulted from standard ballot-counting processes, especially mail-in and absentee ballots.","Newly recovered video footage claims to show election fraud at Detroit's TCF Center, alleging late-night deliveries of illegal ballots after polls closed to increase Biden's vote count in Michigan.",Improper vote dumps Trump referenced is actually the result of standard vote-counting procedures
48,Here. We. Go.  @realDonaldTrump  The key momentum shift happened on Wednesday morning at 6:31AM.  A batch of nearly 150K votes came in. 96% went for Biden,refuting,story_396,"The vote increases resulted from standard ballot-counting processes, especially mail-in and absentee ballots.","Newly recovered video footage claims to show election fraud at Detroit's TCF Center, alleging late-night deliveries of illegal ballots after polls closed to increase Biden's vote count in Michigan.",Improper vote dumps Trump referenced is actually the result of standard vote-counting procedures
49,"Deep State authored the Patriot Act. It was the opposite.  Deep State authored the Affordable Car Act. It was the opposite.  Deep State says, There is no election fraud.  It is the opposite.",irrelevant,story_396,"The vote increases resulted from standard ballot-counting processes, especially mail-in and absentee ballots.","Newly recovered video footage claims to show election fraud at Detroit's TCF Center, alleging late-night deliveries of illegal ballots after polls closed to increase Biden's vote count in Michigan.",Improper vote dumps Trump referenced is actually the result of standard vote-counting procedures
50,Well @afneil you want evidence of US election fraud. Here it is. What do you say now. This is from NYT data.,refuting,story_396,"The vote increases resulted from standard ballot-counting processes, especially mail-in and absentee ballots.","Newly recovered video footage claims to show election fraud at Detroit's TCF Center, alleging late-night deliveries of illegal ballots after polls closed to increase Biden's vote count in Michigan.",Improper vote dumps Trump referenced is actually the result of standard vote-counting procedures
51,PRESIDENT TRUMP WON A LOT IN ALL 50 USA STATES BY REAL LEGAL VOTES. BIDÈ BIDET BIDEN HARRIS NEVER IN THE WHITE HOUSE BY DEATHS PEOPLE DEM FRAUDOLENT NO ID SIGNATURED BALLOTS. ONE VOTE ONE PERSON IS DEMOCRACY. DONALD TRUMP WON ELECTION2020. RIGGED BY DEM. WE THE PEOPLE.,irrelevant,story_396,"The vote increases resulted from standard ballot-counting processes, especially mail-in and absentee ballots.","Newly recovered video footage claims to show election fraud at Detroit's TCF Center, alleging late-night deliveries of illegal ballots after polls closed to increase Biden's vote count in Michigan.",Improper vote dumps Trump referenced is actually the result of standard vote-counting procedures
52,Here's another view of the Michigan data. The arching lines are the total cumulative vote adding up for the candidates Tues-Weds.  Notice the normal jump when a batch comes in for 57% Biden and the ABNORMAL jump when in comes in 96% for Biden at that 6:31 AM mark.,refuting,story_396,"The vote increases resulted from standard ballot-counting processes, especially mail-in and absentee ballots.","Newly recovered video footage claims to show election fraud at Detroit's TCF Center, alleging late-night deliveries of illegal ballots after polls closed to increase Biden's vote count in Michigan.",Improper vote dumps Trump referenced is actually the result of standard vote-counting procedures
53,"Trump though this drop of mail-in votes from Wayne County was suspicious because he only got 4% of it.   Turns out that's more than the 2.5% he got there in 2016,  like Romney (2012) and McCain (2008).  So 4% is actually high.",irrelevant,story_396,"The vote increases resulted from standard ballot-counting processes, especially mail-in and absentee ballots.","Newly recovered video footage claims to show election fraud at Detroit's TCF Center, alleging late-night deliveries of illegal ballots after polls closed to increase Biden's vote count in Michigan.",Improper vote dumps Trump referenced is actually the result of standard vote-counting procedures
54,Don't forget the fraud that happened in the dark morning hours of Nov 4th. Hundreds of thousands of fake ballots dumped. These charts tell the story. In Michigan 96% of the 150K ballots for Biden. Impossible. Same in Wisconsin. They think we're fools BidenCheatedAndGotCaught,refuting,story_396,"The vote increases resulted from standard ballot-counting processes, especially mail-in and absentee ballots.","Newly recovered video footage claims to show election fraud at Detroit's TCF Center, alleging late-night deliveries of illegal ballots after polls closed to increase Biden's vote count in Michigan.",Improper vote dumps Trump referenced is actually the result of standard vote-counting procedures
55,"Yes, dead people did vote in this election.  Voter fraud by democrats",refuting,story_209,Claims of dead people voting in the 2020 election are mostly unsubstantiated not actual voter fraud.,"Thousands of ballots were cast in the names of deceased individuals in the 2020 election, proving widespread voter fraud intended to alter the election outcome.",The allegations of dead people voting in the 2020 U.S. election are baseless and unsupported by credible evidence.
56,realDonaldTrump: RT @TrumpWarRoom: The liberal media says voter fraud doesn't happen. They're lying.  Someone used the identities of dead people to vote in the presidential election. Here's the proof.  Trump2020 AmericanPride,refuting,story_209,Claims of dead people voting in the 2020 election are mostly unsubstantiated not actual voter fraud.,"Thousands of ballots were cast in the names of deceased individuals in the 2020 election, proving widespread voter fraud intended to alter the election outcome.",The allegations of dead people voting in the 2020 U.S. election are baseless and unsupported by credible evidence.
57,??Voter Fraud Is A Reality!  The identities of dead people were used to vote in the presidential election.  Here is actual proof. ??,refuting,story_209,Claims of dead people voting in the 2020 election are mostly unsubstantiated not actual voter fraud.,"Thousands of ballots were cast in the names of deceased individuals in the 2020 election, proving widespread voter fraud intended to alter the election outcome.",The allegations of dead people voting in the 2020 U.S. election are baseless and unsupported by credible evidence.
58,AmericaDecides : NOT THE FAKE NEWS MEDIA ????????  BidenCorruption ????????????  BidenCrimeFamilyExposed  CreepyJoe  BidenCrimeFamilly ????  Remember 2016-18 democRATS wanted to bring in 3rd world country poll watchers?  Yeah we could of used them in 2020 ??,irrelevant,story_55+244,Joe Bidens quote about having the most extensive voter fraud organization was taken out of context; he was discussing efforts to prevent voter suppression and misinformation,"Joe Biden openly admitted to having organized widespread voter fraud, as suggested by his statement in the viral video.","Social media posts by Eric Trump and Jeanine Pirro misrepresent Joe Bidens quote, claiming he admits to voter fraud."
59,"We all need to donate ASAP to Trumps legal defense fund, on his campaign website. Trump will win. He always wins!",irrelevant,story_55+244,Joe Bidens quote about having the most extensive voter fraud organization was taken out of context; he was discussing efforts to prevent voter suppression and misinformation,"Joe Biden openly admitted to having organized widespread voter fraud, as suggested by his statement in the viral video.","Social media posts by Eric Trump and Jeanine Pirro misrepresent Joe Bidens quote, claiming he admits to voter fraud."
60,Voter fraud is real and it was perpetrated on all Americans!,irrelevant,story_55+244,Joe Bidens quote about having the most extensive voter fraud organization was taken out of context; he was discussing efforts to prevent voter suppression and misinformation,"Joe Biden openly admitted to having organized widespread voter fraud, as suggested by his statement in the viral video.","Social media posts by Eric Trump and Jeanine Pirro misrepresent Joe Bidens quote, claiming he admits to voter fraud."
