Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Image Path,Caption,falsified_label,intern_vl_78_response,Imgur URL,Content Keywords,Title,Content URL,News Content,Image URL,are_images_similar,intern_vl_78_web_entities_title_response,intern_vl_78_web_entities_summary_response,intern_vl_78_summary_response,intern_vl_78_title_response,intern_vl_78_web_entities_title_keywords_response,intern_vl_38_web_entities,intern_vl_38_web_entities_summary_response,gpt_web_entities_response,gpt_web_entities_summary_response,gpt_web_entities_title_response,Title Vision,Content Summary Vision,Content URL Vision,Image URL Vision,News Content Vision,intern_vl_38_web_entities_title_vision_response,intern_vl_38_web_entities_summary_vision_response,llama_90_web_entities_summary_vision_response,llama_90_web_entities_title_vision_response,gpt_web_entities_title_vision_response,internvl_78_web_entities_summary_vision_response,internvl_78_web_entities_title_vision_response,internvl_78_web_entities_title_keywords_vision_response,internvl_78_vision_response,gpt_web_entities_summary_vision_response
87,87,87,87,87,87,87,87,87,87,87,87,87,./sample_300_merged_balanced/usa_today_images_0064_021.jpg,The Army is phasing out Social Security numbers from soldiers dog tags,False,not out of context,https://i.imgur.com/vfRCr0B.jpeg,,,,,,,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,out of context,not out of context,not out of context,Army to stop putting Social Security numbers on dog tags,,https://www.usatoday.com/story/news/nation-now/2015/12/08/army-stop-putting-social-security-numbers-dog-tags/77016828/,,"Army TimesSoldiers' Social Security numbers will no longer be part of their dog tags, the Army announced Tuesday.
A soldier's Social Security number will be replaced by a 10-digit, randomly-generated number.
The change is in accordance with new Defense Department guidelines calling for less use of Social Security numbers.
Removing Social Security numbers from dog tags is one of the ways the Army is trying to safeguard personal information, Klemowski said.
""More and more systems are going to go to the DoD ID number as technology catches up with us and we are able to phase out the Social Security number,"" he said.",not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context
88,88,88,88,88,88,88,88,88,88,88,88,88,./sample_300_merged_balanced/guardian_images_0732_589.jpg,Julie Etchingham will front ITV s broadcast of the first party leaders TV debate,True,out of context,https://i.imgur.com/fEsmGaA.jpeg,"['leader', 'australian', 'process', 'election', 'senate', 'greens', 'leadership', 'milne', 'defends', 'christine', 'minority', 'party', 'democrats']",Christine Milne defends Greens' leadership election process,https://www.theguardian.com/australia-news/2015/may/07/christine-milne-defends-greens-leadership-election-process,"The former leader of the Greens, Christine Milne, has defended the process the party followed to elect her replacement, citing the problems the Australian Democrats had with direct ballots of the membership.
NSW Greens senator, Lee Rhiannon, has questioned the speed of the process and renewed her calls for grassroots members to be involved in leadership ballots.
Milne said the Greens had previously considered and rejected changes to the leadership election process.
“The Democrats collapsed because of internal fighting and in part their direct election system was a contributor to that.
Milne, a Tasmanian senator, said she would not stand for another six-year Senate term at the election due in 2016.",https://i.guim.co.uk/img/media/8a9a89316cd8c963cad31ffc9fdc8c5209c366f3/0_146_3523_2113/3523.jpg?width=465&dpr=1&s=none&crop=none,Yes,out of context,out of context,out of context,out of context,out of context,out of context,out of context,out of context,out of context,out of context,Greens form new national council to help boost stagnating support,,https://www.theguardian.com/australia-news/2014/nov/09/greens-form-new-national-council-to-help-boost-stagnating-support,,"The Greens have announced the formation of a new national council in a move that aims to professionalise the party and revamp its stagnating support base.
The 25-person council will be made up of representatives from the party room, state and territory branches and office bearers.
“When I took on the leadership, it was clear to me that it was important to move to a cabinet-style structure,” Milne told Guardian Australia.
He said there is often a schism between what the politicians want and what the party members want, and the council must listen to grassroots members.
“It’s easy to dance on the grave of the Greens even though they are yet to die,” Ghazarian said.",out of context,out of context,out of context.,out of context.,out of context,out of context,out of context,out of context,out of context,out of context
89,89,89,89,89,89,89,89,89,89,89,89,89,./sample_300_merged_balanced/washington_post_images_0375_503.jpg,Roger Goodell at Super Bowl XLVII,False,not out of context,https://i.imgur.com/keAJRei.jpeg,"['covid19', 'season', 'fight', 'cancellations', 'significantly', 'response', 'testing', 'utilized', 'shifted', 'threat', 'unsuccessfully', 'demands', 'week', 'spread', 'players', 'nfl', 'tool', 'nflpa']","How NFLPA shifted its COVID-19 testing fight in response to threat of cancellations, players' demands",https://www.usatoday.com/story/sports/nfl/columnist/mike-jones/2021/12/23/nfl-covid-players-association-testing-protocols/9005627002/,"As the NFL announced a new arrangement for the testing of COVID-19 this week, the league and its players agreed to protocols that differed significantly from the setup previously utilized this season.
The plan also contrasted greatly from the 2020 practice of daily testing, which NFL Players Association leaders believed provided the most effective detection and spread mitigation tool last season and unsuccessfully lobbied for again this year.",,,out of context,out of context,out of context,out of context,out of context,not out of context,out of context,out of context,out of context,out of context,,,,,,not out of context,not out of context,not out of context.,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context
90,90,90,90,90,90,90,90,90,90,90,90,90,./sample_300_merged_balanced/usa_today_images_0149_788.jpg,A Donald Trump supporter in WilkesBarre Pa in April 2016,False,not out of context,https://i.imgur.com/CLtvxJP.jpeg,"['public', 'control', 'republicans', 'states', 'tax', 'state', 'damage', 'consequences', 'wisconsin', 'national', 'york', 'times', 'republican']",How Much Damage Have Republicans Done in the States? - The New York Times,https://www.nytimes.com/2019/08/19/opinion/states-republicans.html,"Abortion and gun laws changed in every state, but not enough for Republican control to produce changes in state abortion numbers or crime rates.
Republicans opposed raising income taxes on the rich, but not enough to exacerbate inequality or accelerate economic growth in their states.
Since Republicans came to power mostly in the states that already had the smallest public sectors, there was less room to cut.
This hardly means that Republican control had no influence.
Yes, many Republican states erected barriers to voting, but the national trends are toward easier registration and far more early voting.",,,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,How Donald Trump came up with ‘Make America Great Again’,,https://www.washingtonpost.com/politics/how-donald-trump-came-up-with-make-america-great-again/2017/01/17/fb6acf5e-dbf7-11e6-ad42-f3375f271c9c_story.html,,"“We Will Make America Great.” That one did not have the right ring.
AdvertisementAnd then, it hit him: “Make America Great Again.”“I said, ‘That is so good.’ I wrote it down,” Trump recalled in an interview.
Scott Walker began tucking “make America great again” into their own speeches, Trump’s lawyers fired off cease-and-desist letters.
‘Keep America Great,’ ” Trump said.
“Being a great president has to do with a lot of things, but one of them is being a great cheerleader for the country,” Trump said.",not out of context,not out of context,out of context,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context
91,91,91,91,91,91,91,91,91,91,91,91,91,./sample_300_merged_balanced/usa_today_images_0616_011.jpg,Migrants trying to make their way towards the European Union at the border of Macedonia and Greece,False,not out of context,https://i.imgur.com/cIJfBww.jpeg,,,,,,,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,,,,,,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context
92,92,92,92,92,92,92,92,92,92,92,92,92,./sample_300_merged_balanced/washington_post_images_0500_221.jpg,Protesters clash with security forces near Tahrir Square in Cairo,False,not out of context,https://i.imgur.com/yp2QDgz.jpeg,"['khalil', 'square', 'forces', 'riot', 'tahrir', 'hamra', 'demonstrators', 'security', 'near', 'apa', 'protester', 'battle']",Demonstrators battle police near Tahrir Square,https://www.usatoday.com/picture-gallery/news/world/2013/01/28/demonstrators-battle-police-near-tahrir-square/1864071/,"NEWSDemonstrators battle police near Tahrir SquareA police officer holds the Egyptian national flag during a battle with protesters on Jan. 29 near Tahrir Square in Cairo.
Amr Nabil, APBoys cover their faces during fighting with Egyptian security forces near Tahrir Square.
Virginie Nguyen Hoang, APA riot police vehicle fires tear gas at protesters during a battle near Tahrir Square.
Khalil Hamra, APA man holds the national flag as fighting breaks out between protesters and security forces near Tahrir Square.
Thomas Hartwell, APProtesters tear down a cement wall blocking a road near the parliament building on Jan. 24 near Tahrir Square.",https://www.usatoday.com/gcdn/media/USATODAY/USATODAY/2013/01/28/egypt012813_0007-16_9.jpg,Yes,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,Egypt's Unfinished Revolution: Two Years Later,,https://www.theatlantic.com/photo/2013/01/egypts-unfinished-revolution-two-years-later/100447/,,"Twenty-four months have passed since the start of the uprising that led to the overthrow of Egyptian leader Hosni Mubarak.
In that time, much has changed, but many of the most vocal revolutionaries are not yet satisfied.
President Mohamed Morsi, who assumed office last summer, has frustrated the opposition within the new government.
In the midst of all this, many of the same activists who set things in motion in 2011 took to the streets again this past weekend, feeling that their voices had been drowned out once again.
At least 50 are now reported to have been killed in clashes between demonstrators and government (and pro-government) groups, and a state of emergency has been declared in three provinces.",not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context
93,93,93,93,93,93,93,93,93,93,93,93,93,./sample_300_merged_balanced/guardian_images_0611_294.jpg,William Blake s The Ghost of a Flea painted 181920 Nominated by guydenning,True,not out of context,https://i.imgur.com/yVmzYtW.jpeg,,,,,,,out of context,out of context,out of context,out of context,out of context,out of context,out of context,out of context,out of context,out of context,"Francis Bacon's portrait of Lucian Freud, owned by Roald Dahl, for sale",,https://www.theguardian.com/artanddesign/2014/jun/04/bacon-portrait-of-freud-owned-by-dahl-up-for-auction,,"A logjam of giant names in the arts comes together in one small canvas to be auctioned next month: Lucian Freud, painted by Francis Bacon, and owned by the late Roald Dahl.
Although they later fell out, the young Bacon and Freud were close friends, who painted one another's portraits – and Dahl was a great admirer and friend of Bacon's.
Dahl, whose work has at least as many dark shadows as Bacon's, said he found the artist emotionally exciting.
Francis Outred, Christie's expert, said he saw many similarities between the work of Bacon and Dahl.
At one point Dahl owned five works by Bacon, but sold them all except the Freud, which has remained in the family collection until now.",out of context,out of context,out of context,out of context,out of context,out of context,out of context,out of context,not out of context,out of context
94,94,94,94,94,94,94,94,94,94,94,94,94,./sample_300_merged_balanced/bbc_images_0170_465.jpg,Mark Boyle lived without money in his caravan near Bath Somerset He relied on foraging and farming,True,out of context,https://i.imgur.com/wXcDF9S.jpeg,,,,,,,out of context,out of context,out of context,out of context,out of context,out of context,out of context,out of context,out of context,out of context,Gerard Depardieu given hand-scything lesson by Belarus leader,,https://www.bbc.com/news/world-europe-33640709,,"French actor Gerard Depardieu has been given a lesson in hand-scything by Belarus's President Alexander Lukashenko during a surprise visit.
Mr Lukashenko, once described by US officials as ""Europe's last dictator"", hosted Mr Depardieu in his residence near the capital Minsk.
The visit comes ahead of Belarus's presidential elections, which Mr Lukashenko is widely expected to win.
In 2013 Mr Depardieu received a Russian passport from President Vladimir Putin.
The actor had decided to leave France to avoid paying higher taxes.",out of context,out of context,out of context,out of context,out of context,out of context,out of context,out of context,out of context,out of context
95,95,95,95,95,95,95,95,95,95,95,95,95,./sample_300_merged_balanced/guardian_images_0388_713.jpg,Dotonbori Night Cruise Sightseers take an evening cruise along the Dotonbori River under the bright lights in downtown Osaka,False,not out of context,https://i.imgur.com/1wLwnKB.jpeg,,,,,,,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,,,,,,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context
96,96,96,96,96,96,96,96,96,96,96,96,96,./sample_300_merged_balanced/usa_today_images_0392_174.jpg,Week 20 results for USA TODAY s GOP Power Rankings,False,not out of context,https://i.imgur.com/CsZ71Mt.jpeg,"['chat', 'rankings', 'university', 'political', 'scenes', 'presidential', 'facebook', 'power', 'gop', 'today', 'usa', 'weekly', 'strategist', 'republican']",Facebook chat: Behind the scenes of USA TODAY GOP Power Rankings,https://www.usatoday.com/story/news/politics/elections/2016/01/27/facebook-chat-behind-scenes-usa-today-gop-power-rankings/79425762/,"USA TODAYThroughout the campaign season, USA TODAY has been running a weekly survey of 30 political experts on who is the strongest Republican candidate in the presidential field.
The result was our weekly GOP Power Rankings, which we are wrapping up this week, since actual voting begins in Iowa on Monday.
ET for a Facebook conversation about how the rankings worked and what we have learned so far in the race for the White House.
USA TODAY GOP Power Rankings: Trump dominates last look at unpredictable raceParticipants Friday will be:Henry BarbourLobbyist and political strategist at Capitol Resources in Mississippi and member of the Republican National Committee executive committee.
Moderated by USA TODAY Washington Correspondent Paul Singer.",https://www.usatoday.com/gcdn/-mm-/2e379b55c81857156365010c8bdd1e9a2c6d1399/c=0-0-1593-900/local/-/media/2016/01/25/USATODAY/USATODAY/635893316228371053-collageweek22.jpg?width=660&height=373&fit=crop&format=pjpg&auto=webp,Yes,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,,,,,,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context
97,97,97,97,97,97,97,97,97,97,97,97,97,./sample_300_merged_balanced/guardian_images_0434_912.jpg,Damian Cunego along with 26 other riders and officials from the LampreMerida team have been indicted over doping claims in Italy,True,out of context,https://i.imgur.com/dU1cdcL.jpeg,"['confirms', 'team', 'wasnt', 'today', 'dowsett', 'win', 'bradley', 'wiggins', 'trials', 'thomas', 'trial', 'absence', 'france', 'tour', 'point']",Bradley Wiggins confirms Tour de France absence after time trials win,https://www.theguardian.com/sport/2014/jun/26/bradley-wiggins-tour-de-france-british-time-trials,"Left out of the Sky squad for the upcoming Tour de France, Wiggins crashed and pulled out of the recent Tour of Switzerland, so this title-winning ride was a stunning riposte to those who thought him washed up.
In spite of his evident disappointment at not making the Tour team, Wiggins appeared remarkably calm and there was no hint of bitterness or suppressed anger as he faced the media after the podium presentation.
The course, which was traced around the Celtic Manor golf course, took in some narrow, steep roads, but Wiggins wasn’t deterred.
Nor was there anything that his former team mate Alex Dowsett, now riding for Spanish team Movistar team, could do either.
For Wiggins though, the pressure has gone, there’s no Tour this year, and it’s hard not to think there won’t be another.",https://i.guim.co.uk/img/static/sys-images/Sport/Pix/columnists/2014/7/2/1404326483520/Chris-Froome-002.jpg?quality=85&auto=format&fit=max&s=c2f5a8ba3cd850c99c8704e1034ce8d1,No,out of context,out of context,out of context,out of context,out of context,out of context,out of context,out of context,out of context,out of context,,,,,,out of context,out of context,out of context,out of context,out of context,out of context,out of context,out of context,out of context,out of context
98,98,98,98,98,98,98,98,98,98,98,98,98,./sample_300_merged_balanced/guardian_images_0451_067.jpg,Protesters at a demonstration in Aleppo Syria against Bashar alAssad s regime,True,not out of context,https://i.imgur.com/B1Lj4RR.jpeg,"['positions', 'square', 'egyptians', 'supporters', 'university', 'soldiers', 'pictures', 'outskirts', 'nahdet', 'morsi', 'streets', 'ousted', 'muslim', 'standing']",Egyptians take to streets as Morsi ousted – in pictures,https://www.theguardian.com/world/gallery/2013/jul/03/egyptians-morsi-ultimatum-in-pictures,"Soldiers take their positions on a bridge leading towards members of the Muslim Brotherhood and supporters of Morsi standing guard around Cairo University and Nahdet Misr Square in Giza, on the outskirts of CairoPhotograph: Louafi Larbi/Reuters",https://i.guim.co.uk/img/static/sys-images/Guardian/Pix/pictures/2013/7/3/1372846412634/Opponents-of-President-Mo-012.jpg?width=300&quality=85&auto=format&fit=max&s=7d044b35e7047cf1856aa11a42219a24,Yes,out of context,out of context,out of context,out of context,out of context,out of context,out of context,out of context,out of context,out of context,,,,,,out of context,out of context,out of context.,out of context,out of context,out of context,out of context,out of context,not out of context,out of context
99,99,99,99,99,99,99,99,99,99,99,99,99,./sample_300_merged_balanced/usa_today_images_0711_664.jpg,An Iraqi policemen checks his weapon at the Qayyarah military base before an operation to retake the city of Mosul,False,not out of context,https://i.imgur.com/uUIjrbC.jpeg,"['iraqi', 'offensive', 'pictures', 'falluja', 'flee', 'urged', 'worsen', 'isis', 'civilians', 'leave', 'fighters', 'usled', 'insurgents', 'refugees', 'killing']",Civilians flee the offensive on Falluja – in pictures,https://amp.theguardian.com/p/4jn2n,"Refugees have been urged to leave Falluja as conditions worsen in the besieged Iraqi city.
The US-led coalition has carried out four days of airstrikes, killing more than 70 insurgents and Isis fighters",https://i.guim.co.uk/img/media/84b19207eb278e3d0eb984b0d855addc4653e471/0_0_2700_1800/master/2700.jpg?width=700&quality=85&auto=format&fit=max&s=f23bb812c6326c6fba83548216ce9fcb,No,not out of context,not out of context,not out of context,out of context,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,,,,,,not out of context,not out of context,not out of context.,not out of context.,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context
100,100,100,100,100,100,100,100,100,100,100,100,100,./sample_300_merged_balanced/guardian_images_0006_550.jpg,Smokestacks from iron and steel plants in Qian an Hebei province in China,False,not out of context,https://i.imgur.com/BmrF16Y.jpeg,"['temperature', 'finds', 'spot', 'climate', 'atmosphere', 'study', 'scientists', 'hot', 'tropospheric', 'models', 'measurements', 'warming', 'troposphere']",New study finds a hot spot in the atmosphere,https://www.theguardian.com/environment/climate-consensus-97-per-cent/2015/may/15/new-study-finds-a-hot-spot-in-the-atmosphere,"This new study also helps to answer a debate amongst a number of scientists about temperature variations throughout different parts of the atmosphere.
This “hot spot” refers to expectations that as global warming progresses, the troposphere will warm faster than the Earth surface.
The hot spot is really hard to detect; it requires high quality measurements at both the surface and throughout the troposphere.
This finding agrees very well with climate models which predicted a 64% difference.
When improved experiments were obtained, we see atmosphere temperature studies in agreement.",https://i.guim.co.uk/img/media/9e6035d4c160c19cbca99b350a011d60c63cdcae/0_146_5093_3055/5093.jpg?width=460&quality=85&auto=format&fit=max&s=d1ce18e06d49ae9ad7a568dbc35e4a41,No - example,not out of context,not out of context,out of context,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,China's carbon emissions from fossil fuels may be 14% lower than thought,,https://www.theguardian.com/environment/2015/aug/19/chinas-carbon-emissions-may-be-lower-than-thought,,"China’s carbon emissions from fossil fuels and cement production may have been overestimated by as much as 14%, according to a new analysis by scientific researchers.
The report, published in the journal Nature, estimates that in 2013, China’s CO2 emissions totalled 2.49 gigatonnes (Gt) of carbon, 14% less than previously thought.
The report is the first time that fuel quality has been taken into consideration when completing emissions estimates in China.
The uncertainty of China’s emissions estimates is typically reported as 5% to 10%.
The major revisions proposed by this new paper are a sign, if not of inaccuracy, at least of significant uncertainty in our understanding of the fundamental variables of China’s emissions.",not out of context,not out of context,not out of context.,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context
101,101,101,101,101,101,101,101,101,101,101,101,101,./sample_300_merged_balanced/usa_today_images_0683_732.jpg,Pitt and Jolie arrive at the Baftas at the Royal Opera House in London February 2009,True,not out of context,https://i.imgur.com/BDbVBTt.jpeg,"['2006', 'awards', 'evolution', 'getty', 'brangelina', 'film', 'angelina', 'arrive', 'brad', 'jolies', 'pitt', 'jolie']",The evolution of Brangelina,https://www.usatoday.com/picture-gallery/life/people/2014/05/30/the-evolution-of-brangelina/7273527/,"Matt Sayles, APAnd so it began ... Brangelina was sparked when Brad Pitt and Angelina Jolie steamed up screens in 2005's 'Mr.
Stephen Vaughan, 20th Century FoxAngelina Jolie and Brad Pitt, dodging rumors of a romance, kept their distance as they promoted 'Mr.
APBrad Pitt and Angelina Jolie, here with her son Maddox, arrive at Narita International Airport in Tokyo, in November 2005.
Grant Lamos IV, FilmMagicBrad Pitt (as Roland) comforts Angelina Jolie Pitt (as Vanessa) in 'By the Sea,' which she directed.
Universal Pictures Via APAngelina Jolie Pitt and Brad Pitt arrive at AFI Fest 2015's opening night gala premiere of 'By the Sea' in Los Angeles.",https://www.usatoday.com/gcdn/-mm-/e35e300a7b5a53813827c5a09a783ab78532cb2c/c=0-0-1655-2204/local/-/media/USATODAY/USATODAY/2014/04/03//1396567378002-pitt-mightyheart.jpg,Yes,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,out of context,not out of context,not out of context,The evolution of Brangelina,,https://www.usatoday.com/picture-gallery/life/people/2014/05/30/the-evolution-of-brangelina/7273527/,,"Matt Sayles, APAnd so it began ... Brangelina was sparked when Brad Pitt and Angelina Jolie steamed up screens in 2005's 'Mr.
Stephen Vaughan, 20th Century FoxAngelina Jolie and Brad Pitt, dodging rumors of a romance, kept their distance as they promoted 'Mr.
APBrad Pitt and Angelina Jolie, here with her son Maddox, arrive at Narita International Airport in Tokyo, in November 2005.
Grant Lamos IV, FilmMagicBrad Pitt (as Roland) comforts Angelina Jolie Pitt (as Vanessa) in 'By the Sea,' which she directed.
Universal Pictures Via APAngelina Jolie Pitt and Brad Pitt arrive at AFI Fest 2015's opening night gala premiere of 'By the Sea' in Los Angeles.",not out of context,not out of context,out of context,not out of context.,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context
102,102,102,102,102,102,102,102,102,102,102,102,102,./sample_300_merged_balanced/guardian_images_0279_160.jpg,Leigh Halfpenny suffered an injury to his right knee 15 minutes before the end of Wales s 2319 win over Italy,False,out of context,https://i.imgur.com/SBHSGDR.jpeg,"['s', 'cardiff', 'j', 'halfpenny', 'leigh', 'v', 'squad', 'zealand', 'left', 'scarlets', 'wales', 'ospreys', 'tour', 'r']",Leigh Halfpenny left out of Wales squad to tour New Zealand,https://www.theguardian.com/sport/2016/may/10/leigh-halfpenny-wales-squad-new-zealand-rugby-union,"Leigh Halfpenny has been left out of the Wales squad to tour New Zealand in the summer.
The Toulon full-back has been out of action since damaging his knee ligaments in a World Cup warm-up against Italy in September.
Halfpenny had targeted a return to action with the French club this season but suffered another setback which involved an operation in April.
Warburton injured a shoulder playing for Cardiff Blues against Ospreys on 30 April and has not played since.
Wales will take on England at Twickenham on 29 May and then face three Tests against the All Blacks in June.","https://i.guim.co.uk/img/media/33125f81c014c04c0b78a8f822d6f751c7062dc4/162_0_2094_1256/2094.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom,left&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctYWdlLTIwMTYucG5n&s=7900d5cc377fb3581d4131bdaa3438c6",Bb,not out of context,out of context,out of context,not out of context,not out of context,out of context,out of context,out of context,not out of context,not out of context,,,,,,out of context,not out of context,not out of context,out of context,out of context,not out of context,out of context,out of context,out of context,out of context
103,103,103,103,103,103,103,103,103,103,103,103,103,./sample_300_merged_balanced/usa_today_images_0231_434.jpg,Kobe Bryant pumps his fist after his jumper at the buzzer beat the Phoenix Suns 99 98 in overtime in Game 4 of the NBA Playoff series in 2006,False,not out of context,https://i.imgur.com/eL8C8QA.jpeg,"['recall', 'career', 'points', 'photographers', 'los', 'kobe', 'covering', 'legend', 'bryant', 'lakers', 'michael', 'basketball', 'capturing']",Capturing Kobe Bryant: Photographers recall covering Lakers legend,https://www.usatoday.com/story/sports/nba/lakers/2016/04/08/kobe-bryant-lakers-video-photographer-remember-legendary-career/82817590/,"Robert HanashiroUSATodayFor those of us photographers that have been covering sports in Los Angeles for any length of time, it’s hard to imagine covering the Lakers without Kobe Bryant.
There have been countless media and fan tributes to Bryant since he announced that this would be his final season.
Our editors cleared their planned A-1 coverage to make room for the breaking news that Kobe scored 81.”How the twist of a knee brought Kobe Bryant, Lakers GM togetherLucy Nicholson, Reuters News Pictures: “I photographed Kobe playing for the Los Angeles Lakers and for Team USA from 2001-14.
A Hall of Famer, of course.”How Kobe Bryant eased the pain of one family's tragedyMike Blake, Reuters News Pictures: “He was much faster to shoot than Michael Jordan.
Kobe also came in around the start of digital (cameras).”PHOTOS: Capturing Kobe",,,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,Capturing Kobe Bryant: Photographers recall covering Lakers legend,,https://www.usatoday.com/story/sports/nba/lakers/2016/04/08/kobe-bryant-lakers-video-photographer-remember-legendary-career/82817590/,,"Robert HanashiroUSATodayFor those of us photographers that have been covering sports in Los Angeles for any length of time, it’s hard to imagine covering the Lakers without Kobe Bryant.
There have been countless media and fan tributes to Bryant since he announced that this would be his final season.
Our editors cleared their planned A-1 coverage to make room for the breaking news that Kobe scored 81.”How the twist of a knee brought Kobe Bryant, Lakers GM togetherLucy Nicholson, Reuters News Pictures: “I photographed Kobe playing for the Los Angeles Lakers and for Team USA from 2001-14.
A Hall of Famer, of course.”How Kobe Bryant eased the pain of one family's tragedyMike Blake, Reuters News Pictures: “He was much faster to shoot than Michael Jordan.
Kobe also came in around the start of digital (cameras).”PHOTOS: Capturing Kobe",not out of context,not out of context,not out of context,not out of context.,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context
104,104,104,104,104,104,104,104,104,104,104,104,104,./sample_300_merged_balanced/guardian_images_0649_511.jpg,MAPFRE fans show their support prior to the start of Leg 8,False,not out of context,https://i.imgur.com/m8gSI5c.jpeg,"['warners', 'ad', 'super', 'weird', 'upcoming', 'tub', 'warner', 'features', 'tailgaiting', 'skittles', 'hot', 'bowl', 'weeks', 'involves', 'version', 'kurt']",Kurt Warner’s version of Super Bowl tailgaiting involves a hot tub full of Skittles,https://www.washingtonpost.com/news/early-lead/wp/2015/01/06/kurt-warners-version-of-super-bowl-tailgaiting-involves-a-hot-tub-full-of-skittles/,"NFL champion quarterback Kurt Warner is making the Super Bowl “awesomer” in a new Skittles ad released on Tuesday.
The spot, which features the 43-year-old tailgating four weeks early in Arizona, doesn’t just advertise the colorful, fruit-flavored candy, but also an upcoming and much-anticipated Skittles ad that is scheduled to air during the Super Bowl.
The candy’s been mum on the details of the Super Bowl ad, but judging from its pre-Super Bowl ad, which features Warner bathing in a hot tub full of Skittles, it’ll probably be good, or at least weird.",https://www.washingtonpost.com/wp-apps/imrs.php?src=http://www.washingtonpost.com/blogs/early-lead/files/2015/01/skittles.jpg&w=1440,No,out of context,not out of context,not out of context,out of context,out of context,not out of context,not out of context,not out of context,out of context,not out of context,,,,,,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context
105,105,105,105,105,105,105,105,105,105,105,105,105,./sample_300_merged_balanced/bbc_images_0376_011.jpg,With students angry about fees the NUS plans to mobilise against Lib Dems who support the policy,True,out of context,https://i.imgur.com/kpgZdv7.jpeg,"['protest', 'financing', 'southwestern', 'triballeau', 'studies', 'students', 'french', 'medical', 'bill', 'nov', 'plfss', 'social', 'toulouse', 'security']",French medical students protest against Social Security Financing Bill,https://www.usatoday.com/picture-gallery/news/world/2022/11/09/french-medical-students-protest-against-social-security-financing-bill/8314323001/,"French medical students protest against Social Security Financing BillUSA TODAYMedical students hold a banner reading ""Medical students, always exploited, never listened to, stop the disrespect"" during a protest against the social security financing bill (PLFSS) that adds an extra year to general medicine studies, in Toulouse, southwestern France, Nov. 9, 2022.
CHARLY TRIBALLEAU, AFP Via Getty ImagesMedical students take part in a demonstration against the Social Security Financing Bill (PLFSS) that adds an extra year to general medicine studies, in Toulouse, south-western France, on Nov. 9, 2022.
CHARLY TRIBALLEAU, AFP Via Getty ImagesMedical students take part in a demonstration against the Social Security Financing Bill (PLFSS) that adds an extra year to general medicine studies, in Toulouse, south-western France, on Nov. 9, 2022.
CHARLY TRIBALLEAU, AFP Via Getty ImagesMedical students take part in a demonstration against the Social Security Financing Bill (PLFSS) that adds an extra year to general medicine studies, in Toulouse, south-western France, on Nov. 9, 2022.
CHARLY TRIBALLEAU, AFP Via Getty ImagesMedical students take part in a demonstration against the Social Security Financing Bill (PLFSS) that adds an extra year to general medicine studies, in Toulouse, south-western France, on Nov. 9, 2022.",https://www.usatoday.com/gcdn/presto/2022/11/09/USAT/c336fe41-2181-4ef3-880e-a58c533b4a8b-AFP_AFP_32N76L9.jpg,No,out of context,out of context,out of context,out of context,out of context,out of context,out of context,not out of context,out of context,out of context,,,,,,out of context,out of context,not out of context,not out of context,not out of context,out of context,out of context,out of context,out of context,not out of context
